date,uptake,period
25/02/20,13,0
26/02/20,13,1
27/02/20,16,2
28/02/20,20,3
29/02/20,23,4
01/03/20,36,5
02/03/20,39,6
03/03/20,51,7
04/03/20,87,8
05/03/20,116,9
06/03/20,164,10
07/03/20,209,11
08/03/20,278,12
09/03/20,321,13
10/03/20,383,14
11/03/20,400,15
12/03/20,590,16
13/03/20,798,17
14/03/20,1140,18
15/03/20,1391,19
16/03/20,1543,20
17/03/20,1950,21
18/03/20,2626,22
19/03/20,3269,23
20/03/20,3983,24
21/03/20,5018,25
22/03/20,5683,26
23/03/20,6650,27
24/03/20,8807,28
25/03/20,9529,29
26/03/20,11658,30
27/03/20,14543,31
28/03/20,17089,32
29/03/20,19522,33
30/03/20,22141,34
31/03/20,25150,35
01/04/20,29474,36
02/04/20,33718,37
03/04/20,38168,38
04/04/20,41903,39
05/04/20,47806,40
06/04/20,51608,41
07/04/20,55242,42
08/04/20,60733,43
